account_id,match_id,assists,deaths,denies,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,kills,last_hits,leaver_status,level,player_slot,stuns,unit_order_buyback,unit_order_move_to_position,unit_order_purchase_item,won,xp_per_min
0,5,14,6,1,496,9115,12298,0,32,13,37,0,15,0,0,,1834,26,TRUE,507
28,5,16,7,2,411,8655,5459,0,27,3,54,0,11,1,12.197,,2644,39,TRUE,309
5,5,19,3,12,631,15665,16923,0,67,13,118,0,17,2,0,,9382,32,TRUE,644
0,5,21,1,7,604,15015,20239,0,106,14,99,0,17,3,0,,4942,27,TRUE,626
29,5,17,6,1,423,10560,8002,324,71,6,18,0,13,4,86.1794,,1158,24,TRUE,388
30,5,4,10,11,321,7210,2979,0,28,2,81,0,11,128,51.221,,2063,21,FALSE,302
0,5,8,12,0,319,6945,7764,0,107,5,16,0,12,129,34.0917,,2472,32,FALSE,330
31,5,6,9,2,312,6330,7405,0,62,5,14,0,11,130,1.8,,2692,23,FALSE,269
0,5,8,9,4,285,4490,4806,0,84,2,18,0,13,131,18.7455,1,2432,28,FALSE,346
0,5,9,11,12,420,10285,12035,0,11,7,125,0,14,132,0,,1954,26,FALSE,430
28,6,14,7,2,320,10595,5533,0,20,1,38,0,15,0,29.3819,,3657,44,TRUE,348
32,6,9,3,7,719,24215,22060,0,8,20,290,0,22,1,5.51899,1,4339,34,TRUE,776
5,6,18,2,2,543,18775,18519,0,67,5,198,0,20,2,0,,12914,43,TRUE,628
33,6,13,10,1,564,14440,16516,286,69,10,163,0,18,3,0.300571,,2670,39,TRUE,507
34,6,19,7,0,425,14475,11005,1195,100,4,106,0,16,4,56.7867,,3802,42,TRUE,426
35,6,13,10,0,293,7855,8757,4445,30,4,15,0,14,128,84.4562,1,2015,39,FALSE,326
36,6,8,7,16,460,17485,12937,0,41,8,178,0,18,129,35.9411,,3565,40,FALSE,483
37,6,15,6,3,329,8630,8781,4679,102,3,58,0,17,130,0,1,4638,38,FALSE,443
38,6,15,11,0,245,6425,6723,2049,85,5,44,0,12,131,0,,3612,24,FALSE,250
0,6,9,10,6,531,15335,15395,0,11,8,224,0,19,132,0,,3099,30,FALSE,551
39,7,14,3,1,607,20220,9823,0,53,9,228,0,19,0,0,,3841,32,TRUE,517
40,7,13,3,14,638,24835,20971,0,44,16,200,0,24,1,13.7884,,2791,39,TRUE,816
0,7,19,7,4,385,12830,11328,0,96,4,81,0,16,2,41.9868,,4721,34,TRUE,391
0,7,8,7,4,444,17770,9760,1428,14,14,23,0,19,3,16.867,,5957,48,TRUE,505
0,7,17,6,11,557,15530,16167,0,74,11,146,0,21,4,52.7943,1,3926,29,TRUE,609
0,7,7,10,7,558,17725,11362,0,93,6,222,0,24,128,0,2,4533,33,FALSE,776
41,7,4,11,3,250,6930,5901,70,30,6,53,0,13,129,40.3293,,5185,19,FALSE,240
0,7,10,12,0,301,7740,7921,0,35,3,86,0,15,130,0.266646,,4670,18,FALSE,320
42,7,6,10,7,440,15800,10534,0,21,6,174,0,21,131,50.4703,,3804,37,FALSE,593
43,7,8,12,1,191,5015,3705,0,26,1,52,1,12,132,29.1297,,2828,35,FALSE,225
44,8,7,10,1,403,11450,7074,0,44,5,133,0,15,0,0,,5132,16,FALSE,399
45,8,7,9,2,352,9555,4474,0,28,3,64,0,16,1,44.0387,,5102,21,FALSE,410
0,8,7,6,6,246,6005,5619,85,85,2,31,0,13,2,0,,4483,22,FALSE,269
0,8,7,13,0,358,7220,10425,0,22,4,90,0,15,3,1.43356,,3409,16,FALSE,379
